OBJECTID,LABELTXT,SQ_MILES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNYCODE,MUNICIPALITY,SHAPEarea,SHAPElen
89,58,0.59968812,{515F0578-F5A0-47AF-9F3C-949785871623},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,041,OAKLAND,16718278.3477898,17350.8708874421
90,99,0.01942226,{68F2E5A7-5803-4A82-93A3-8F1D603E4BF7},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,541458.918963986,19502.0326390132
91,27,0.27426663,{0DF08670-438A-4C17-83B7-E6E02E418406},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,073,EDMUNDSON,7646083.322685,12112.2551656285
92,35,1.30133559,{30317F50-38D6-47CA-806E-09EB93328C8F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,026,GLENDALE,36279009.7042482,25802.4450732262
93,7,4.96244058,{0443542A-864E-4480-AC04-A64306AFFC41},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,007,BERKELEY,138295213.600933,73113.6385629345
94,45,0.73391852,{7BAD146F-1077-4789-82EF-C5F756CAC8D0},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,074,KINLOCH,20460391.268441,19049.7511090801
95,99,0.00048256,{99EDDD2D-E9CF-464C-97EB-9796EBD6CC30},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,13452.9933047842,766.320590355063
96,1,8.94001252,{8B110CF1-A36A-4C9F-AA5B-AA78BA4B9685},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,093,BALLWIN,249232231.481,125680.776315668
97,28,4.37323406,{60769D78-070E-4E79-BAFE-1090A08C221F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,019,ELLISVILLE,121918282.768864,83809.6999398541
98,71,1.4285847,{E5E020FC-9F24-4A2B-AC8F-75D27935FD3F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,051,ST. JOHN,39826496.5945877,36369.2863847778
99,73,0.13158481,{AE5DAE6F-FB70-429C-89EA-6F658385A68C},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,054,SYCAMORE HILLS,3668359.3604297,8340.43310710355
100,18,2.50957127,{132D61E9-9652-4E44-8318-D8ACB325A569},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,014,CLAYTON,69962552.6385219,45031.9877707128
101,99,0.16942913,{811688FB-33E7-4C98-BD04-F494F1C71262},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,4723393.52221192,9756.32577796353
102,69,1.43406078,{568FB594-A77D-464F-A883-DC4D41179542},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,053,SHREWSBURY,39979161.5020351,28695.0012899876
103,17,2.72882982,{E1FF6085-EF8E-4C5C-8953-9C195D4EBF3D},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,087,CLARKSON VALLEY,76075102.2202878,57711.3776857856
104,6,0.7732635,{E0C51DD4-DDD9-4B7F-9BB2-E37D437D0691},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,005,BEL-RIDGE,21557262.9271941,22279.7461795689
105,99,0.29064989,{14CAD47A-3A70-458E-B0A4-908216FB962A},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,8102822.4602322,14616.2174988427
106,23,10.27503344,{5F352AF9-69FA-41C4-AA3A-EA080D9D0E3B},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,082,CREVE COEUR,286450344.604665,117854.208503926
107,88,67.20598254,{96898F20-2EAD-4FBD-A727-89632E87D8FC},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,107,WILDWOOD,1873587762.71684,257382.91281335
108,74,11.54651725,{F90DB583-D47F-465A-A143-167DF3C3CDAF},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,083,TOWN & COUNTRY,321897126.648238,140150.381938667
109,99,0.00257117,{23189A92-61B5-4C16-910B-2B3AD421B667},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,71679.5723108673,3637.11358614342
110,99,7.66698069,{A21FCCAA-25E3-4B0D-8AE4-A2571844225F},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,000,UNINCORPORATED,213742303.266227,130536.851061313
